Handled by,physical_id,gender,mouseline,Genotype,birthdate,End date,Confirmation of genotype,phenotype,project_title,Experiment,comment,PFA Liver,PFA Liver tumour,PFA Small intestine,PFA SI tumour,PFA Skin,PFA Skin_Hair,PFA Others,Freeze Liver,Freeze Liver tumour,Freeze Others
Alex Ang,6670C07,Male,Lgr5/Kai/Tomato,"Lgr5 (+/+), Kai(T/+), Tomato (KI/+)",27/08/2017,03/11/2017,Yes,NA,Role of Lgr5 in liver regeneration,Lineage tracing,On Dox 1.5 months 19/9/2017 - 3/11/2017,1,,1,,,,,,,
Alex Ang,6670C08,Male,Lgr5/Kai/Tomato," Lgr5 (T/+), Kai (T/+), Tomato (KI/+)",27/08/2017,03/11/2017,,,Role of Lgr5 in liver regeneration,Lineage tracing,On Dox 1.5 months 19/9/2017 - 3/11/2017,1,,1,,,,,,,
Alex Ang,6670C10,Female,Lgr5/Kai/Tomato,"Lgr5(T/+), Kai(T/+), Tomato(KI/+)",08-27-2017,11-03-2017,,,Role of Lgr5 in liver regeneration,Lineage tracing,19 Sept'17: On DOX / 3 Nov'17: Harvested Small Intestine and Liver for PFA,1,,1,,,,,,,
Alex Ang,4520A11,Male,Lgr5/Kai/Tomato,"Lgr5(+/+), Kai(T/+), Tomato(KI/+)",02-01-2017,08-13-2018,Yes,NA,Role of Lgr5 in liver regeneration,Lineage tracing,On DOX Feed from 23rd Feb to 1st Mar Chased 1.5 year; whole liver harvested for PFA,1,,,,,,,,,
Alex Ang,4520A12,Male,Lgr5/Kai/Tomato,"Lgr5(T/+), Kai(T/+), Tomato(KI/+)",02-01-2017,08-13-2018,Yes,NA,Role of Lgr5 in liver regeneration,Lineage tracing,On DOX Feed from 23rd Feb to 1st Mar Chased 1.5 year; whole liver harvested for PFA,3,,,,,,,,,
Alex Ang,4520A13,Male,Lgr5/Kai/Tomato,"Lgr5(T/+), Kai(T/+), Tomato(KI/+)",02-01-2017,08-13-2018,Yes,NA,Role of Lgr5 in liver regeneration,Lineage tracing,On DOX Feed from 23rd Feb to 1st Mar Chased 1.5 year; whole liver harvested for PFA,3,,,,,,,,,
Alex Ang,4882C06,Male,Lgr5/Kai/Tomato,"Lgr5(T/+), Kai(+/+), Tomato(KI/+)",02-01-2017,06-11-2018,Yes,NA,Role of Lgr5 in liver regeneration,Lineage tracing,"On DOX Feed from 23rd Feb to 1st Mar Perfused liver with PBS, Harvest liver and S. I. for 3D and 2D imaging",1,,1,,,,,,,
Alex Ang,4882C07,Male,Lgr5/Kai/Tomato,"Lgr5(T/+), Kai(T/+), Tomato(KI/+)",02-01-2017,06-11-2018,Yes,NA,Role of Lgr5 in liver regeneration,Lineage tracing,"On DOX Feed from 23rd Feb to 1st Mar Perfused liver with PBS, Harvest liver and S. I. for 3D and 2D imaging",1,,1,,,,,,,
Alex Ang,4520B17,Male,Lgr5/Kai/Tomato,"Lgr5(T/+), Kai(T/+), Tomato(KI/+)",02-26-2017,01-02-2019,Yes,NA,Role of Lgr5 in liver regeneration,Lineage tracing,7 days DOX Feed: 20 Mar 2017 to 27 Mar 2017,1,,,,,,,,,
Alex Ang,4520B18,Male,Lgr5/Kai/Tomato,"Lgr5(T/+), Kai(T/+), Tomato(KI/+)",02-26-2017,01-02-2019,Yes,NA,Role of Lgr5 in liver regeneration,Lineage tracing,7 days DOX Feed: 20 Mar 2017 to 27 Mar 2017,1,,,,,,,,,
